date,city,precipitation,month,year
4/5/2021,NYC,0,4,2021
4/6/2021,NYC,0,4,2021
4/7/2021,NYC,0,4,2021
4/8/2021,NYC,0,4,2021
4/9/2021,NYC,0,4,2021
4/10/2021,NYC,0.06,4,2021
4/11/2021,NYC,0.44,4,2021
4/12/2021,NYC,0.49,4,2021
4/13/2021,NYC,0.06,4,2021
4/14/2021,NYC,0,4,2021
4/15/2021,NYC,0.82,4,2021
4/16/2021,NYC,0.09,4,2021
4/17/2021,NYC,0,4,2021
4/18/2021,NYC,0,4,2021
4/19/2021,NYC,0,4,2021
4/20/2021,NYC,0,4,2021
4/21/2021,NYC,0.07,4,2021
4/22/2021,NYC,0,4,2021
4/23/2021,NYC,0,4,2021
4/24/2021,NYC,0,4,2021
4/25/2021,NYC,0.5,4,2021
4/26/2021,NYC,0,4,2021
4/27/2021,NYC,0,4,2021
4/28/2021,NYC,0,4,2021
4/29/2021,NYC,0.1,4,2021
4/30/2021,NYC,0.02,4,2021
5/1/2021,NYC,0,5,2021
5/2/2021,NYC,0,5,2021
5/3/2021,NYC,0.23,5,2021
5/4/2021,NYC,0.52,5,2021
5/5/2021,NYC,0.31,5,2021
5/6/2021,NYC,0,5,2021
5/7/2021,NYC,0,5,2021
5/8/2021,NYC,0.04,5,2021
5/9/2021,NYC,0.42,5,2021
5/10/2021,NYC,0.01,5,2021
5/11/2021,NYC,0,5,2021
5/12/2021,NYC,0,5,2021
5/13/2021,NYC,0,5,2021
5/14/2021,NYC,0,5,2021
5/15/2021,NYC,0,5,2021
5/16/2021,NYC,0,5,2021
5/17/2021,NYC,0,5,2021
5/18/2021,NYC,0,5,2021
5/19/2021,NYC,0,5,2021
5/20/2021,NYC,0,5,2021
5/21/2021,NYC,0,5,2021
5/22/2021,NYC,0,5,2021
5/23/2021,NYC,0,5,2021
5/24/2021,NYC,0,5,2021
5/25/2021,NYC,0,5,2021
5/26/2021,NYC,0.07,5,2021
5/27/2021,NYC,0.04,5,2021
5/28/2021,NYC,1.08,5,2021
5/29/2021,NYC,0.86,5,2021
5/30/2021,NYC,0.94,5,2021
5/31/2021,NYC,0,5,2021
6/1/2021,NYC,0,6,2021
6/2/2021,NYC,0,6,2021
6/3/2021,NYC,0.23,6,2021
6/4/2021,NYC,0.39,6,2021
6/5/2021,NYC,0,6,2021
6/6/2021,NYC,0,6,2021
6/7/2021,NYC,0,6,2021
6/8/2021,NYC,0.57,6,2021
6/9/2021,NYC,0,6,2021
6/10/2021,NYC,0,6,2021
6/11/2021,NYC,0,6,2021
